busIdx,busType,name,Vn,vmax,vmin,v0,a0,xcoord,ycoord,area,area,owner,numGen,sumGenP0,sumGenQ0,numLoad,sumLoadP0,sumLoadQ0,zone
37,1,NEW SEATHED,345,1.1,0.9,1.04419,0.080393356,-73.923,42.494,2,1,1,0,0,0,0,0,0,F
38,1,GILBOA,345,1.1,0.9,1.0421,0.121740206,-74.88,42.336,2,1,1,0,0,0,0,0,0,E
39,1,LEEDS,345,1.1,0.9,1.041,0.057140334,-74.001,42.042,2,1,1,0,0,0,0,0,0,G
40,1,NEW SEATHED,230,1.1,0.9,1.03072,0.010056587,-74.066,42.646,2,1,1,0,0,0,0,0,0,F
41,1,ROTTERDAM,115,1.1,0.9,1.02634,-0.058833304,-73.78,43.086,2,1,1,0,0,0,1,7,1.25,F
42,2,ALBANY,115,1.1,0.9,1.04,-0.044793875,-73.628,42.702,2,1,1,1,3.7,1.34949,1,1.77,0.17,F
43,1,EDIC,345,1.1,0.9,1.04908,0.145612819,-75.24,42.894,2,1,1,0,0,0,0,0,0,E
44,1,PORTER,230,1.1,0.9,1.04792,0.114661151,-75.136,43.013,2,1,1,0,0,0,0,0,0,E
45,1,PORTER,115,1.1,0.9,1.04349,0.068891636,-75.24,43.131,2,1,1,0,0,0,1,2.56,0.17,E
46,1,COLTON,115,1.1,0.9,1.04781,0.107948614,-75.051,44.428,2,1,1,0,0,0,2,0.23,-0.425,E
47,2,MOSES W,230,1.1,0.9,1.03,0.203842239,-75.211,44.654,2,1,1,1,4,-0.03268,1,5.28,1,E
48,2,MOSES E,230,1.1,0.9,1.05,0.262021045,-74.821,44.846,2,1,1,1,4,1.07452,0,0,0,D
49,1,PLATTSBURGH,115,1.1,0.9,0.96523,-0.019481365,-74.134,44.699,2,1,1,0,0,0,1,2.08,0.17,D
50,2,CLAY,345,1.1,0.9,1.05,0.230634789,-76.333,43.306,2,1,1,1,6,0.4118,0,0,0,C
51,2,CLAY,115,1.1,0.9,1.04,0.148846915,-76.261,42.939,2,1,1,1,1.41,0.20685,1,7.31,0.75,C
52,1,ROCHESTER,345,1.1,0.9,1.04193,0.338820768,-77.482,43.312,2,1,1,0,0,0,0,1.95,0,B
53,2,ROCHESTER,115,1.1,0.9,1.03,0.314251768,-77.777,42.889,2,1,1,1,8.33,1.73977,1,7.28,2.5,B
54,2,NIAGARA W,230,1.1,0.9,1.0408,0.470053819,-78.352,43.125,2,1,1,2,11.15,-0.01298,1,0.2,0,A
55,2,NIAGARA E,230,1.1,0.9,1.04,0.45744207,-78.591,42.996,2,1,1,1,10.95,1.48655,1,9.39,1.32,A
56,2,HUNTLEY,230,1.1,0.9,1.03,0.469484842,-78.743,43.312,2,1,1,1,4.1,0.87207,1,1.72,0.44,A
57,2,HUNTLEY,115,1.1,0.9,1.03,0.448956279,-79.125,42.911,2,1,1,1,2.98,0.03534,1,2.4,-0.06,A
58,1,GARDENVILLE,230,1.1,0.9,1.0101,0.429146792,-79.133,42.714,2,1,1,0,0,0,1,0.84,0.38,A
59,1,GARDENVILLE,115,1.1,0.9,0.99669,0.387213512,-78.797,42.561,2,1,1,0,0,0,1,7.05,1.98,A
60,2,DUNKIRK,230,1.1,0.9,1.04,0.527405339,-79.315,42.33,2,1,1,1,4.1,0.54828,0,0,0,A
61,2,DUNKIRK,115,1.1,0.9,1.04,0.466474149,-78.828,42.234,2,1,1,1,1.94,0.1318,1,2.37,0.08,A
62,1,STOLLE RD,230,1.1,0.9,1.01628,0.418238485,-78.255,42.708,2,1,1,0,0,0,0,0,0,B
63,1,MEYER,230,1.1,0.9,1.00548,0.307993017,-77.824,42.42,2,1,1,0,0,0,0,0,0,C
64,1,MEYER,115,1.1,0.9,1.00715,0.253903518,-77.592,42.409,2,1,1,0,0,0,1,1.43,0.25,C
65,2,GESONIDGE,115,1.1,0.9,1.04,0.274990586,-76.978,42.629,2,1,1,1,0.91,0.51625,1,0.91,0,C
66,1,WATERCURE,345,1.1,0.9,1.01975,0.364313047,-76.203,41.862,2,1,1,0,0,0,0,0,0,C
67,1,WRHL,230,1.1,0.9,1.00265,0.291143609,-77.041,41.952,2,1,1,0,0,0,0,0,0,C
68,2,HILLSIDE,115,1.1,0.9,0.99,0.222410797,-76.714,42.15,2,1,1,1,0.66,-0.0014,1,2.11,0.41,C
69,1,BINGHAMTON,345,1.1,0.9,1.01948,0.25020342,-75.397,42.009,2,1,1,0,0,0,0,0,0,E
70,1,BINGHAMTON,230,1.1,0.9,0.99894,0.236774857,-75.988,42.014,2,1,1,0,0,0,0,0,0,C
71,2,BINGHAMTON,115,1.1,0.9,1,0.193979384,-75.789,42.33,2,1,1,1,1.34,-3.7366,1,3.71,0.53,C
72,2,LAPEER,115,1.1,0.9,1.05,0.17659765,-76.093,42.635,2,1,1,1,1.5,3.79422,0,0,0,C
73,1,PLEASANT VLY,345,1.1,0.9,1.03292,0.028581512,-73.641,41.58,3,1,1,0,0,0,0,0,0,G
74,3,MILLWOOD,345,1.1,0.9,1.02708,0.005199336,-73.769,41.304,3,1,1,0,0,0,1,1.02,0,H
75,1,RAMAPO,138,1.1,0.9,1.04944,0.022045254,-74.861,41.078,3,1,1,0,0,0,0,0,0,G
76,1,RAMAPO,345,1.1,0.9,1.04639,0.013917255,-74.311,41.174,3,1,1,0,0,0,0,0,0,G
77,1,BUCHANAN,345,1.1,0.9,1.03539,0.009526007,-74.12,41.36,3,1,1,0,0,0,0,0,0,G
78,2,CE UG,345,1.1,0.9,1.02,0,-73.424,40.773,3,1,1,0,4.66019,0.7401,1,20,6,I
79,2,RAV A-3,22,1.1,0.9,1.05,0.14261958,-73.264,40.379,3,1,1,1,10,2.57345,0,3,0,K
80,2,NORTHPORT,138,1.1,0.9,1.0232,0.011011282,-73.145,40.852,3,1,1,1,7.2,-0.00078,1,4,0.25,K
81,1,GOETHALS,345,1.1,0.9,1.02198,-0.057327085,-73.775,40.491,3,1,1,0,0,0,0,0,0,J
82,2,AK-3,22,1.1,0.9,1.05,0.132086518,-73.783,40.745,3,1,1,1,4.6,1.25095,0,0,0,J
21,2,MILLSTONE PT,24,1.1,0.9,1.0486,0.206964633,-72.404,41.005,1,NA,6.5,2.15117,0,0,,,,ISONE
29,1,NORTHFIELD,345,1.1,0.9,1.02751,0.056258943,-72.726,42.482,1,NA,0,0,0,0,,,,ISONE
35,1,SOUTHINGTEN,345,1.1,0.9,0.99524,0.00129678,-73.187,41.563,1,NA,0,0,5.22,1.77,,,,ISONE
100,1,PHAS,220,1.1,0.9,1.03248,0.459337498,-74.853,45.066,4,NA,0,0,0,0,,,,IESO
102,1,BP 76,220,1.1,0.9,1.0455,0.44548831,-79.349,43.266,4,NA,0,0,0,0,,,,IESO
103,1,PA 27,220,1.1,0.9,1.04629,0.441851044,-79.317,43.069,4,NA,0,0,0,0,,,,IESO
124,1,BRANCHBURG,230,1.1,0.9,1.04471,0.0416104,-74.709,40.627,6,NA,0,0,3.7,0.49,,,,PJM
125,1,LINDON,230,1.1,0.9,1.02196,-0.0596204,-74.301,40.486,6,NA,0,0,3.2,0.05,,,,PJM
132,1,JUNIATA,500,1.1,0.9,1.03978,0.341325315,-77.389,40.638,6,NA,0,0,2.1,-3.37,,,,PJM
134,2,HOMER CITY,230,1.1,0.9,1.03,0.446392391,-78.826,41.072,6,NA,8.8,0.43093,0,0,,,,PJM
138,1,E TOMANO,230,1.1,0.9,0.97073,0.236539238,-76.266,41.715,6,NA,0,0,1.1,0.64,,,,PJM
