Name,PTID,Zone,UnitType,FuelType,Latitude,Longitude,Pmax,Pmin,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM,fid,BusId,HubDist,starttime
59 St.  GT 1,24138.0,J,Combustion Turbine,Kerosene,40.772385,-73.993028,17.1,0.0,1.71,17.1,17.1,17.1,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,98.0,82.0,11.57829482,10m
74 St.  GT 1,24260.0,J,Combustion Turbine,Kerosene,40.768421,-73.951731,18.5,0.0,1.85,18.5,18.5,18.5,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,99.0,82.0,10.06557069,10m
74 St.  GT 2,24261.0,J,Combustion Turbine,Kerosene,40.768421,-73.951731,18.5,0.0,1.85,18.5,18.5,18.5,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,82.0,10.06557069,10m
Allegany,23514.0,B,Combined Cycle,Natural Gas,42.5083,-78.0661,66.0,11.0,6.6,66.0,66.0,66.0,8.218122079,-14.57767087,0.862442729,-0.094772567,15.20903962,-125.8576584,0.891406803,1,11.0,62.0,6.355161504,10m
Allied Frozen Storage,23774.0,A,Internal Combustion,Natural Gas,42.842029,-78.722673,0.1,0.0,0.01,0.1,0.1,0.1,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,55.0,14.12591618,10m
Arthur Kill Cogen,323718.0,J,Internal Combustion,Natural Gas,40.5915,-74.2027,11.1,0.0,1.11,11.1,11.1,11.1,8.899,0.0,0.0,0.0,0.0,0.0,0.0,0,101.0,82.0,24.87856242,10m
Arthur Kill GT 1,23520.0,J,Combustion Turbine,Natural Gas,40.5915,-74.2027,20.0,0.0,2.0,20.0,20.0,20.0,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,102.0,82.0,24.87856242,10m
Arthur Kill ST 2,23512.0,J,Steam Turbine,Natural Gas,40.5915,-74.2027,349.0,96.0,34.9,349.0,349.0,349.0,8.666515527,252.3904329,0.995836569,0.000771878,8.373115417,274.28691,0.995859946,1,56.0,82.0,24.87856242,10m
Arthur Kill ST 3,23513.0,J,Steam Turbine,Natural Gas,40.5915,-74.2027,539.0,1.0,53.9,539.0,539.0,539.0,8.889480256,340.3749654,0.986235371,-0.003564531,10.32477499,231.0151359,0.991459809,1,57.0,82.0,24.87856242,10m
Astoria 2,24149.0,J,Steam Turbine,Natural Gas,40.7869,-73.9122,153.0,1.0,15.3,153.0,153.0,153.0,10.72015873,147.5455131,0.987563137,0.007555248,9.621049225,170.5601139,0.988910417,1,66.0,82.0,12.09467414,10m
Astoria 3,23516.0,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,756.0,40.0,75.6,756.0,756.0,756.0,4.504716726,250.9164197,0.996074622,0.000420233,4.178389616,295.6369022,0.996268542,1,59.0,82.0,12.09467414,10m
Astoria 5,23518.0,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,776.0,2.0,77.6,776.0,776.0,776.0,4.411727123,267.1373506,0.98470148,-3.68e-05,4.439406411,263.4641353,0.984697799,1,60.0,82.0,12.09467414,10m
Astoria CC 1,323568.0,J,Combined Cycle,Natural Gas,40.7881,-73.9056,318.0,129.0,31.8,318.0,318.0,318.0,5.09607166,386.354601,0.946508948,-0.000613498,5.331552075,364.9803583,0.946516312,1,78.0,82.0,12.31529436,10m
Astoria CC 2,323569.0,J,Combined Cycle,Natural Gas,40.7881,-73.9056,320.0,99.0,32.0,320.0,320.0,320.0,5.118026291,373.6166355,0.885957245,0.006157964,2.705591933,598.1917348,0.887446999,1,79.0,82.0,12.31529436,10m
Astoria East Energy - CC1,323581.0,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313.0,163.0,31.3,313.0,313.0,313.0,5.780711706,249.905795,0.936384542,0.006202215,2.943236746,559.6928626,0.937311138,1,80.0,82.0,11.87682707,10m
Astoria East Energy - CC2,323582.0,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313.0,166.0,31.3,313.0,313.0,313.0,5.524528972,328.3687733,0.921790208,0.014157038,-0.939027441,1033.574277,0.926948446,1,85.0,82.0,11.87682707,10m
Astoria Energy 2 - CC3,323677.0,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313.0,92.0,31.3,313.0,313.0,313.0,6.480036113,232.6925235,0.977923656,0.014391737,-0.127866341,959.0709986,0.987282115,1,81.0,82.0,11.87682707,10m
Astoria Energy 2 - CC4,323678.0,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313.0,87.0,31.3,313.0,313.0,313.0,6.409826973,224.8131387,0.981152272,0.012721013,0.612773958,854.6213291,0.987958345,1,82.0,82.0,11.87682707,10m
Astoria GT 01,23523.0,J,Combustion Turbine,Natural Gas,40.7864,-73.9133,16.0,0.0,1.6,16.0,16.0,16.0,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,103.0,82.0,12.02713368,10m
Astoria GT 2-1,24094.0,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,86.0,82.0,12.02713368,10m
Astoria GT 2-2,24095.0,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,87.0,82.0,12.02713368,10m
Astoria GT 2-3,24096.0,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,88.0,82.0,12.02713368,10m
